,title,content,answer,maxPoints,type,relevantLines,examId,questions,gradingKey
101,Aufgabe 14,"Bestimme, ob die Sätze im Präsens oder im Futur 1 stehen und ob sie in der aktiven oder passiven Form gebildet sind.",,5,multiplechoice,,15,"[{'text': 'Im Wirtshaus werden Getränke ausgeschenkt.', 'options': ['Präsens und Aktiv', 'Präsens und Passiv', 'Futur 1 und Aktiv', 'Futur 1 und Passiv'], 'answer': 'Präsens und Passiv'}, {'text': 'Wird der Erzähler seine Anschaffung bereuen?', 'options': ['Präsens und Aktiv', 'Präsens und Passiv', 'Futur 1 und Aktiv', 'Futur 1 und Passiv'], 'answer': 'Futur 1 und Aktiv'}, {'text': 'Durch so eine Geschichte wird man schlauer.', 'options': ['Präsens und Aktiv', 'Präsens und Passiv', 'Futur 1 und Aktiv', 'Futur 1 und Passiv'], 'answer': 'Präsens und Aktiv'}, {'text': 'Der Erzähler wird nicht noch einmal übers Ohr gehauen.', 'options': ['Präsens und Aktiv', 'Präsens und Passiv', 'Futur 1 und Aktiv', 'Futur 1 und Passiv'], 'answer': 'Präsens und Passiv'}, {'text': 'Der Verkäufer wird wohl verhaftet werden.', 'options': ['Präsens und Aktiv', 'Präsens und Passiv', 'Futur 1 und Aktiv', 'Futur 1 und Passiv'], 'answer': 'Futur 1 und Passiv'}]","[{'min': 5, 'max': 5, 'points': 5}, {'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}, {'min': 0, 'max': 0, 'points': 0}]"
102,Aufgabe 15,Kopiere den Satz und füge die fehlenden 4 Kommas ein: Als Lokomotiven auch Zugmaschinen oder kurz Loks genannt bezeichnet man seit ihrer Erfindung schienengebundene sowie frei bewegliche Arbeitsmaschinen. Üblicherweise wird nach der Antriebsart zwischen Dampflokomotiven Lokomotiven mit Verbrennungsmotor und Elektrolokomotiven unterschieden. Die Letztgenannten sind diejenigen welche heutzutage im Personenverkehr am häufigsten anzutreffen sind,"je 1 Punkt für die richtigen Kommas (max 4 Punkkte): Als Lokomotiven, auch Zugmaschinen oder kurz Loks genannt, bezeichnet man seit ihrer Erfindung schienengebundene sowie frei bewegliche Arbeitsmaschinen. Üblicherweise wird nach der Antriebsart zwischen Dampflokomotiven, Lokomotiven mit Verbrennungsmotor und Elektrolokomotiven unterschieden. Die Letztgenannten sind diejenigen, welche heutzutage im Personenverkehr am häufigsten anzutreffen sind",4,text,[],15,,
103,Aufgabe 1,"Welche zwei unterschiedlichen gesundheitlichen Probleme des Kaufmanns werden in der Geschichte erwähnt? Nenne die beiden Begriffe, die im Text verwendet werden.","2 korrekte Lösungen: 1 Punkt, 0-1 korrekte Lösungen: 0 Punkte. Orthografie- und Grammatikfehler werden nicht berücksichtigt. Korrekte Antworten: Gallenschmerzen (Z. 2), Gallenleiden (Z. 26), Lungenentzündung (Z. 26). Falsche Antworten: Galle, Lunge, Lungenprobleme.",1,text,"[2, 26]",1,,
104,Aufgabe 2,Auf Zeile 5 des Textes wird gesagt: «So kam also sozusagen der Geiz zum Geize.» Wer kommt hier eigentlich zu wem?,"1 Punkt für die korrekte Antwort: Der (geizige) Arzt/Doktor kommt zum/besucht den (geizigen) Kaufmann. Lösungen in Stichworten sind zu tolerieren. Orthografie- und Grammatikfehler werden nicht berücksichtigt. Falsche Antworten: Geiz kommt zu Geiz, Der Kaufmann besucht den Arzt/Doktor, Der Geizige kommt zum Geizigen.",1,text,"[3, 4, 5]",1,,
105,Aufgabe 3,"Der Kaufmann bereut es nachträglich, den Arzt um Hilfe gebeten zu haben. Nenne die zwei Überlegungen, die er sich im Text dazu macht. Formuliere in eigenen Worten und in je einem Satz.","Überlegung «Heilung»: Vielleicht wäre er auch ohne den Arzt gesund geworden. Überlegung «Ausgaben»: Er hätte sich die Rechnung sparen können, wenn er nicht den Arzt gerufen hätte. Gleichwertige Lösungen sind zu tolerieren. Abzug für Orthografie- und Grammatikfehler: 1 bis 2 Fehler kein Abzug, 3 oder mehr Fehler 1 Punkt Abzug. Der Abzug bezieht sich auf die Fehleranzahl in beiden Sätzen. Zeichensetzungsfehler werden nicht gezählt. Weil-Sätze ohne Hauptsatz werden toleriert. Total Aufgabe 3: (2)",2,text,"[8, 9]",1,,
106,Aufgabe 4 a),Geiz und Sparsamkeit haben etwas gemeinsam. Aber Geiz wird anders wahrgenommen und bewertet als Sparsamkeit. a) Erkläre die Gemeinsamkeit zwischen Geiz und Sparsamkeit allgemein. Schreibe einen ganzen Satz. Arbeite nicht mit Beispielen.,"In beiden Fällen spart man. / In beiden Fällen will man kein Geld ausgeben. Ein Punkt für die korrekte Antwort. Abzug für Orthografie- und Grammatikfehler: 1 bis 2 Fehler kein Abzug, 3 oder mehr Fehler 1 Punkt Abzug. Zeichensetzungsfehler werden nicht gezählt. Total Aufgabe 4 a): (1)",1,text,[],1,,
107,Aufgabe 4 b),"b) Erkläre den inhaltlichen Unterschied in der Bewertung von Geiz und Sparsamkeit, indem du den Satz unten vervollständigst. Sparsamkeit wird ________________________ bewertet als Geiz.","Sparsamkeit wird positiver, besser, höher bewertet als Geiz. Falsch: anders. Ein Punkt für die korrekte Antwort. In Teilaufgabe b) muss das Adjektiv in der Komparativform gegeben werden. Gleichwertige Lösungen sind zu tolerieren. Abzug für Orthografie- und Grammatikfehler: 1 bis 2 Fehler kein Abzug, 3 oder mehr Fehler 1 Punkt Abzug. Der Abzug bezieht sich auf die Fehleranzahl in beiden Teilaufgaben. Zeichensetzungsfehler werden nicht gezählt. Total Aufgabe 4 b): (1)",1,text,[],1,,
108,Aufgabe 5,Lies die Zeilen 8-16 nochmals. Stimmen die Aussagen in der Tabelle mit der Handlung in den Zeilen überein? Setze das Kreuz bei «ja» oder «nein». Falsch gesetzte Kreuze geben Abzug.,,3,multiplechoice,,1,"[{'text': 'Der Kaufmann verschliesst die gefüllten Dosen.', 'options': ['ja', 'nein'], 'answer': 'ja'}, {'text': 'Der Kaufmann beschriftet die Deckel.', 'options': ['ja', 'nein'], 'answer': 'nein'}, {'text': 'Der Kaufmann mischt Salz bei.', 'options': ['ja', 'nein'], 'answer': 'ja'}, {'text': 'Der Kaufmann holt die Bohnen aus dem Keller.', 'options': ['ja', 'nein'], 'answer': 'nein'}, {'text': 'Der Kaufmann hat eine zündende Idee.', 'options': ['ja', 'nein'], 'answer': 'ja'}, {'text': 'Der Kaufmann kocht die Fisch-Eier.', 'options': ['ja', 'nein'], 'answer': 'nein'}, {'text': 'Der Kaufmann importiert die Linsen aus Russland.', 'options': ['ja', 'nein'], 'answer': 'nein'}]","[{'min': 7, 'max': 7, 'points': 3}, {'min': 5, 'max': 6, 'points': 2}, {'min': 3, 'max': 4, 'points': 1}, {'min': 0, 'max': 2, 'points': 0}]"
109,Aufgabe 6,"Kreuze bei den folgenden Sätzen an, ob sie mit den Aussagen des Textes übereinstimmen (✓) oder nicht (–). Setze das Kreuz beim Fragezeichen (?), wenn das nicht entschieden werden kann. Es darf nur ein Kreuz pro Zeile gesetzt werden.",,4,multiplechoice,,1,"[{'text': 'Der Kaufmann ist älter als der Doktor.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Es ist nicht bekannt, wann genau die Geschichte spielt.', 'options': ['✓', '–', '?'], 'answer': '✓'}, {'text': 'Kaviar besteht ausschliesslich aus roten Fischeiern.', 'options': ['✓', '–', '?'], 'answer': '–'}, {'text': 'Der Kaufmann geht listig vor.', 'options': ['✓', '–', '?'], 'answer': '✓'}, {'text': 'Keine Person in der Geschichte weiss, dass anstelle von Kaviar Linsen in den Dosen sind.', 'options': ['✓', '–', '?'], 'answer': '–'}, {'text': 'Die Verwandten sind traurig darüber, dass der Doktor gestorben ist.', 'options': ['✓', '–', '?'], 'answer': '–'}, {'text': 'Der Kaufmann stirbt, weil er den Arzt nicht gerufen hat.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Die Magd hält den Kaufmann für geizig.', 'options': ['✓', '–', '?'], 'answer': '?'}]","[{'min': 8, 'max': 8, 'points': 4}, {'min': 6, 'max': 7, 'points': 3}, {'min': 4, 'max': 5, 'points': 2}, {'min': 2, 'max': 3, 'points': 1}, {'min': 0, 'max': 1, 'points': 0}]"
110,Aufgabe 7 a,"Das Wort «Gold» wird im Text dreimal verwendet, und zwar auf den Zeilen 13, 24 und 34. Aber nur einmal ist mit «Gold» tatsächlich echtes Gold gemeint, während zweimal nur eine Eigenschaft von Gold als Vergleich eingesetzt wird. Schreibe «echt» auf die freie Linie beim Satz, wo echtes Gold gemeint ist, und nenne in den anderen beiden Fällen die Eigenschaft von Gold, welche für den Vergleich genutzt wird. „Bester russischer Kaviar – schwarzes Gold – Mindestgrösse 3 mm war auf den Dosen gut zu lesen.“ (Z. 13)","Der hohe Wert: die Kostbarkeit, das Luxuriöse, das Wertvolle, Falsch: Kaviar, Fischeier",1,text,[13],1,,
111,Aufgabe 7 b,"Der Doktor bewunderte die Dosen, die glänzten wie Gold.“ (Z. 23-24)","Optisches: die Farbe, der Glanz, die Helligkeit, etwas Schönes. Falsch: Dosen, Büchsen",1,text,"[23, 24]",1,,
112,Aufgabe 7 c,Sie holten den Kaviar zur Krönung des Festes aus dem Keller und füllten ihn in eine Schale aus Gold.“ (Z. 33-34),echt. Gleichwertige Lösungen sind zu tolerieren.,1,text,"[23, 24]",1,,
113,Aufgabe 8,Lies die Zeilen 23 bis 30 noch einmal. In dieser Passage täuscht sich der Doktor gleich zweimal. Erkläre diese beiden Fehleinschätzungen in jeweils einem ganzen Satz.,"Pro korrekte Fehleinschätzung inklusive korrekter Erklärung 2 Punkte, insgesamt 4 Punkte. Gleichwertige Lösungen sind zu tolerieren. 1 Punkt Abzug für 3 oder mehr Orthografie- oder Grammatikfehler (Zeichensetzungsfehler werden nicht gezählt). Korrekte Lösungen: 1.Fehleinschätzung «Wert des Geschenks»: Der Doktor nimmt an, in seinem Keller sei echter Kaviar oder der Doktor nimmt an, er sei reich beschenkt worden. 2. Fehleinschätzung «Charakter des Kaufmanns»: Der Doktor denkt, der Kaufmann sei nicht geizig oder der Doktor denkt, der Kaufmann habe zu Unrecht einen schlechten Ruf oder der Doktor denkt, der Kaufmann werde zu Unrecht für geizig gehalten.",4,text,"[23, 24, 25, 26, 27, 28, 29, 30]",1,,
114,Aufgabe 9,"Die Personen machen im Verlauf der Geschichte verschiedene Erfahrungen. Kreuze an: Wer macht welche Erfahrung(en)? Setze das Kreuz bei «niemand», wenn keine Person in der Geschichte die entsprechende Erfahrung macht. Es darf nur ein Kreuz pro Zeile gesetzt werden.",,4,multiplechoice,,1,"[{'text': 'Menschen lassen sich austricksen.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'Kaufmann'}, {'text': 'Man soll Genuss nicht aufschieben.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'Erben'}, {'text': 'Der Ruf eines Menschen kann täuschen.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'Doktor'}, {'text': 'Lügen haben kurze Beine.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'niemand'}, {'text': 'Wertloses kann wertvoll sein.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'Kaufmann'}, {'text': 'Wertvolles kann wertlos sein.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'Erben'}, {'text': 'Geiz lohnt sich nicht.', 'options': ['Kaufmann', 'Doktor', 'Erben', 'niemand'], 'answer': 'Erben'}]","[{'min': 7, 'max': 7, 'points': 4}, {'min': 6, 'max': 6, 'points': 3}, {'min': 4, 'max': 5, 'points': 2}, {'min': 2, 'max': 3, 'points': 1}, {'min': 0, 'max': 1, 'points': 0}]"
115,Aufgabe 10,"Kreuze jeweils nur die Lösung an, die der Bedeutung der **fett** gedruckten Wörter und Ausdrücke am besten entspricht. Deine Lösung muss inhaltlich zum Text passen.",,5,multiplechoice,,1,"[{'text': 'Der war genauso **wohlhabend** wie geizig. (Z. 1)', 'options': ['wohlgenährt', 'rechthaberisch', 'wohlständig', 'reich', 'glücklich'], 'answer': 'reich'}, {'text': 'Er überlegte sich, wie er es **einfädeln** könnte... (Z. 9-10)', 'options': ['einrichten', 'anrichten', 'kommunizieren', 'vorstellen', 'versichern'], 'answer': 'einrichten'}, {'text': 'Nicht lange danach **segnete** der Doktor selbst **das Zeitliche**. (Z. 31)', 'options': ['machte das Kreuzzeichen', 'gab jemandem den Segen', 'schied aus dem Leben', 'wurde heilig', 'genoss die Zeit'], 'answer': 'schied aus dem Leben'}, {'text': 'Alle bissen **herzhaft** hinein. (Z. 35)', 'options': ['herzlich', 'halbherzig', 'warmherzig', 'mit Herzenslust', 'grossherzig'], 'answer': 'mit Herzenslust'}, {'text': 'Sein **Wappenschild** blieb fleckenlos oder wenigstens sah man die Flecken nicht! (Z. 38-39)', 'options': ['Firmenlogo', 'Ruf', 'Firmenschild', 'Bekanntheit', 'Verteidigung'], 'answer': 'Ruf'}]","[{'min': 5, 'max': 5, 'points': 5}, {'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}, {'min': 0, 'max': 0, 'points': 0}]"
116,Aufgabe 11,"Kreuze jeweils an, worauf sich das **fett** gedruckte Wort inhaltlich bezieht. Lies die Stellen im Text nochmals durch und kreuze nur **eine** Lösung an. Die Lösung muss inhaltlich zum Text passen.",,4,multiplechoice,,1,"[{'text': '«Der Doktor wendete alle Geschicklichkeit auf, den Kranken zu heilen, und es gelang. Die Freude des Kaufmanns **darüber** war allerdings getrübt.»', 'options': ['die Heilung', 'die hohe Rechnung', 'die Gallensteine', 'den Geiz des Doktors', 'die Geschicklichkeit des Doktors'], 'answer': 'die Heilung'}, {'text': '«Dann füllte er alles fein säuberlich in die Dosen und schraubte **deren** beschriftete Deckel gut zu, sodass sie wie ungeöffnet wirkten.»', 'options': ['Firmenwappen', 'Deckel', 'Dosen', 'Kaufmann', 'Kaviar', 'Doktor'], 'answer': 'Dosen'}, {'text': '«Den geizigen Doktor werde es reuen, den teuren Kaviar selbst zu verzehren oder **ihn** gar seinen sowieso seltenen Gästen vorzusetzen – für ihn und erst recht für Letztere reichte ein Käsebrötchen vollends.»', 'options': ['Reue', 'Kaufmann', 'Gäste', 'Kaviar', 'Doktor'], 'answer': 'Kaviar'}, {'text': '«Den geizigen Doktor werde es reuen, den teuren Kaviar selbst zu verzehren oder ihn gar seinen so- wieso seltenen Gästen vorzusetzen – für ihn und erst recht für **Letztere** reichte ein Käsebrötchen vollends.» (Z. 21-23)', 'options': ['Doktor', 'Kaviar', 'Gäste', 'Kaufmann', 'Käsebrötchen'], 'answer': 'Gäste'}]","[{'min': 4, 'max': 4, 'points': 4}, {'min': 3, 'max': 3, 'points': 3}, {'min': 2, 'max': 2, 'points': 2}, {'min': 1, 'max': 1, 'points': 1}, {'min': 0, 'max': 0, 'points': 0}]"
117,Aufgabe 12 a),"Auf Z. 29-30 heisst es: «Wie unrecht hatte man dem Kaufmann immer getan, ihn geizig zu nennen. Er, der Doktor, wusste es besser!» Erkläre in einem ganzen Satz, warum der zweite Satz in der oben angegebenen Textstelle nicht einfach lauten kann: «Er wusste es besser!»","Es wäre/ist nicht klar, ob sich «er» auf den Kaufmann oder den Doktor bezieht.",2,text,[],1,,
118,Aufgabe 12 b),"«Sie holten den Kaviar zur Krönung des Festes ...» (Z. 33-34). Formuliere diesen Satz so um, dass er gleich aufgebaut ist wie: „Er, der Doktor, wusste es besser!“","Sie, die Erben, holten den Kaviar zur Krönung des Festes.",2,text,[],1,,
119,Aufgabe 13,"Bilde ausgehend vom Wortstamm (Stamm-Morphem) der **fett** gedruckten Wörter **ein** neues Wort aus derselben Wortfamilie, das in die Lücke passt. Es darf nur ein einziges Wort pro Lücke eingesetzt werden und die Bedeutung des rechten Satzes muss mit der des linken Satzes übereinstimmen.",,3,directWordMatch,,1,"[{'leftCol': 'Der Kaufmann **litt** an Gallenschmerzen.', 'rightCol': 'Sein schmerzhaftes __________ wurde von der Galle verursacht.', 'answer': ['Leiden'], 'isExample': 0}, {'leftCol': 'Der Doktor **wendete** alle Geschicklichkeit **auf**, den Kranken zu heilen.', 'rightCol': 'Unter __________ aller Geschicklichkeit gelang es dem Doktor, den Kranken zu heilen.', 'answer': ['Anwendung', 'Aufwendung'], 'isExample': 0}, {'leftCol': 'Seine Behandlung war am Schluss mit **Erfolg** gesegnet.', 'rightCol': 'Die Behandlung war zu guter Letzt __________.', 'answer': ['erfolgreich', 'erfolggekrönt', 'erfolgsgekrönt'], 'isExample': 0}, {'leftCol': 'Er starb, weil ihm die Behandlung der Lungenentzündung überflüssig **erschien**.', 'rightCol': 'Er starb, weil der __________ getrogen hatte.', 'answer': ['Schein'], 'isExample': 0}, {'leftCol': 'Sein Wappenschild blieb **fleckenlos**.', 'rightCol': 'Sein Wappenschild blieb __________.', 'answer': ['unbefleckt'], 'isExample': 0}]","[{'min': 5, 'max': 5, 'points': 3}, {'min': 3, 'max': 4, 'points': 2}, {'min': 1, 'max': 2, 'points': 1}, {'min': 0, 'max': 0, 'points': 0}]"
120,14,Bilde die verlangten Verbformen und schreibe sie fehlerfrei.,,3,directWordMatchThreeCol,,1,"[{'leftCol': 'laden', 'middleCol': 'ihr __________ ', 'rightCol': 'er __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['ladet'], 'answerRightCol': ['lud'], 'isExample': 0}, {'leftCol': '__________', 'middleCol': 'ihr __________ ', 'rightCol': 'es war', 'answerLeftCol': ['sein'], 'answerMiddleCol': ['seid', 'seiet'], 'answerRightCol': None, 'isExample': 0}, {'leftCol': 'lassen', 'middleCol': 'ihr __________ ', 'rightCol': 'sie __________', 'answerLeftCol': None, 'answerMiddleCol': ['lasst', 'lasset', 'liess'], 'answerRightCol': ['liess'], 'isExample': 0}, {'leftCol': 'schaffen', 'middleCol': 'ihr __________ ', 'rightCol': 'er __________', 'answerLeftCol': None, 'answerMiddleCol': ['schafft', 'schaffet'], 'answerRightCol': ['schaffte', 'schuf'], 'isExample': 0}, {'leftCol': 'setzen', 'middleCol': 'ihr __________ ', 'rightCol': 'sie __________ ', 'answerLeftCol': None, 'answerMiddleCol': ['setzt', 'setzet'], 'answerRightCol': ['setzte'], 'isExample': 0}]","[{'min': 10, 'max': 10, 'points': 3}, {'min': 7, 'max': 9, 'points': 2}, {'min': 4, 'max': 6, 'points': 1}, {'min': 0, 'max': 3, 'points': 0}]"
121,15,"Ersetze bei den folgenden Begriffen jeweils den ersten Wortbaustein so, dass die **gegenteilige** Bedeutung entsteht. Jeder Wortbaustein darf nur einmal verwendet werden. Beispiel: rückwärts, vorwärts. Worbausteine zur Verfügung: aus-, zu-, miss-, ab-, ent-, a-, tief-, bös-,un-, de-, be-",,4,directWordMatch,,1,"[{'leftCol': 'bewaffnen', 'rightCol': '__________', 'answer': ['entwaffnen'], 'isExample': 0}, {'leftCol': 'gelingen', 'rightCol': '__________', 'answer': ['misslingen'], 'isExample': 0}, {'leftCol': 'verpacken', 'rightCol': '__________', 'answer': ['auspacken', 'entpacken'], 'isExample': 0}, {'leftCol': 'hochmütig', 'rightCol': '__________', 'answer': ['demütig'], 'isExample': 0}, {'leftCol': 'absagen', 'rightCol': '__________', 'answer': ['zusagen'], 'isExample': 0}]","[{'min': 5, 'max': 5, 'points': 4}, {'min': 4, 'max': 4, 'points': 3}, {'min': 3, 'max': 3, 'points': 2}, {'min': 2, 'max': 2, 'points': 1}, {'min': 1, 'max': 1, 'points': 0}]"
122,Aufgabe 1,Wo und wann spielt die Geschichte?,"Stadt: (in) Basel, Ort innerhalb der Stadt: (auf dem) Claraplatz, Uhrzeit: (um) 11.00/elf (Uhr morgens). Nur für beide korrekten Lösungen gibt es 1 Punkt",1,text,[],8,,
123,Aufgabe 2,"Was unternehmen die Menschen, die dem Mann zuschauen, an diesem Samstagmorgen? Nenne zwei Beschäftigungen, die im Text erwähnt werden und die nichts mit dem Mann zu tun haben.","einkaufen, zum Restaurant gehen, schlendern / [im Restaurant] essen. Nur für beide korrekten Lösungen gibt es 1 Punkt",1,text,[],8,,
124,Aufgabe 3,Warum ist der Transport der Sachen mit dem Wägelchen so schwierig? Nenne zwei Gründe in je einem Satz.,"Grund «Wägelchen»: Das Wägelchen ist ungeeignet/zu klein. / Die Rädchen sind zu klein., Grund «Schienen»: Der Boden ist uneben. / Der Untergrund (Tramschienen) ist schwierig zu befahren. / Man kann in die Schienen geraten., Grund «Beladung»: Das Wägelchen ist überladen. / Die Gegenstände sind nicht gut befestigt., Grund «Mann»: Der Mann ist ungeschickt. / Der Mann ist allein. 1 Punkt pro richtigen Satz. Maximal 2 Punkte möglich.",2,text,[],8,,
125,Aufgabe 4,"Kreuze bei den folgenden Aussagen an, ob sie mit dem Inhalt der Geschichte übereinstimmen (✓) oder nicht (–). Setze das Kreuz beim Fragezeichen (?), wenn das nicht entschieden werden kann. Es darf nur ein Kreuz pro Zeile gesetzt werden.",,3,multiplechoice,,8,"[{'text': 'Der Mann ist genau 55 Jahre alt.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Der Mann ist gross.', 'options': ['✓', '–', '?'], 'answer': '-'}, {'text': 'Die Bewegungen des Mannes sind hektisch.', 'options': ['✓', '–', '?'], 'answer': '-'}, {'text': 'Alle Gegenstände auf dem Wägelchen sind abgenutzt.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Anfangs ist der Teppich um die Besenstiele gerollt.', 'options': ['✓', '–', '?'], 'answer': '✓'}, {'text': 'Die Jutesäcke sind auf zwei Matratzen gebunden.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Die Stühle sind die ersten Gegenstände, die vom Wägelchen fallen.', 'options': ['✓', '–', '?'], 'answer': '✓'}]","[{'min': 7, 'max': 7, 'points': 3}, {'min': 5, 'max': 6, 'points': 2}, {'min': 3, 'max': 4, 'points': 1}, {'min': 0, 'max': 2, 'points': 0}]"
126,Aufgabe 5,"Auf der Zeile 17 heisst es: «Die Zahl der Gaffer wächst.» Was unterscheidet Gaffer von Zuschauern? Erkläre in einem Satz, ohne das Wort «gaffen» zu verwenden; der Anfang der Antwort ist vorgegeben. Gaffer ___","2 Punkte für Antworten wie: Gaffer sind schaulustig / zu neugierig / übertrieben neugierig. Gaffer ist abwertend / negativ / negativer als «Zuschauer» / nicht neutral. Gaffer schauen bei Ereignissen zu, die unerfreulich sind. Gaffer bezahlen nie für das Zuschauen.",2,text,[17],8,,
127,Aufgabe 6,"Im Abschnitt von Zeile 14 bis 19 werden einige Gefühle der zuschauenden Personen benannt, welche das Handeln des Mannes bei ihnen auslöst: Ordne diese korrekt zu. Jedes Gefühl darf nur einmal in der Tabelle stehen. Links steh: Was die Zuschauenden denken könnten und rechts soll das Gefühl genannt werden.",,4,directWordMatch,,8,"[{'leftCol': '„Was hat er denn wohl mit diesem Wagen vor?“', 'rightCol': 'Gefühl: __________', 'answer': ['Neugier'], 'isExample': 1}, {'leftCol': '„Herrlich, letztes Mal habe ich im Zirkus so gelacht!“', 'rightCol': 'Gefühl: __________', 'answer': ['Belustigung'], 'isExample': 0}, {'leftCol': '„Ich glaube kaum, dass der Mann mit dieser Wagenladung weit kommt.“ ', 'rightCol': 'Gefühl: __________', 'answer': ['Zweifel'], 'isExample': 0}, {'leftCol': '„Wie kann der sich bloss so aufführen in der Öffentlichkeit!“', 'rightCol': 'Gefühl: __________', 'answer': ['Missbilligung'], 'isExample': 0}, {'leftCol': '„Ich kann kaum erwarten zu sehen, wie das Schauspiel weitergeht.“', 'rightCol': 'Gefühl: __________', 'answer': ['Spannung'], 'isExample': 0}, {'leftCol': '„Ein Wunder, was der Mann alles auf das Wägelchen gekriegt hat!“', 'rightCol': 'Gefühl: __________', 'answer': ['Staunen', 'Erstaunen'], 'isExample': 0}]","[{'min': 5, 'max': 6, 'points': 4}, {'min': 4, 'max': 4, 'points': 3}, {'min': 3, 'max': 3, 'points': 2}, {'min': 0, 'max': 1, 'points': 1}]"
128,Aufgabe 7,"Lies die Zeilen 26 bis 33 noch einmal. Kreuze bei den folgenden Sätzen an, ob sie mit den Aussagen dieses Textabschnitts übereinstimmen (✓) oder nicht (–). Setze das Kreuz beim Fragezeichen (?), wenn das nicht entschieden werden kann. Es darf nur ein Kreuz pro Zeile gesetzt werden.",,4,multiplechoice,,8,"[{'text': 'Im Textabschnitt wird betont, dass niemand hilft.', 'options': ['✓', '–', '?'], 'answer': '✓'}, {'text': 'Die Zuschauenden verhalten sich so, als ob sie einer Darbietung beiwohnten.', 'options': ['✓', '–', '?'], 'answer': '✓'}, {'text': 'Der Mann hat von den Zuschauenden seine Aufgabe gekriegt.', 'options': ['✓', '–', '?'], 'answer': '–'}, {'text': 'Das Lachen der Zuschauenden ist besonders laut und respektlos.', 'options': ['✓', '–', '?'], 'answer': '✓'}, {'text': 'Der Mann ist ein ordnungsliebender Mensch.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Der Mann spielt den Clown.', 'options': ['✓', '–', '?'], 'answer': '–'}, {'text': 'Ein paar Zuschauende wollen sich beim Mann bedanken.', 'options': ['✓', '–', '?'], 'answer': '–'}, {'text': 'Der Mann ist alleine auf der Welt, er hat also keine Verwandten.', 'options': ['✓', '–', '?'], 'answer': '?'}, {'text': 'Die lachenden Zuschauenden halten sich respektvoll zurück, um den Mann nicht abzulenken.', 'options': ['✓', '–', '?'], 'answer': '–'}]","[{'min': 9, 'max': 9, 'points': 4}, {'min': 7, 'max': 8, 'points': 3}, {'min': 5, 'max': 6, 'points': 2}, {'min': 3, 'max': 4, 'points': 1}, {'min': 0, 'max': 2, 'points': 0}]"
129,Aufgabe 8a,"Erkläre in einem Satz, was allgemein unter «Schadenfreude» zu verstehen ist. In der Antwort darfst du das Wort «Schaden» nicht verwenden.",Freude über das Missgeschick/Unglück anderer (oder sinngemässe Lösungen),1,text,[],8,,
130,Aufgabe 8b,"Auf den Zeilen 24 bis 25 sagt der Erzähler: «Ungerecht wäre es, von Schadenfreude zu reden.» Wem gegenüber wäre es in der konkreten Situation der Geschichte ungerecht, von Schadenfreude zu sprechen?",(den) Zuschauern/Gaffern (gegenüber) tolerieren: zuschauende/lachende Menschen; falsch: Menschen; Gleichwertige Lösungen sind zu tolerieren.,1,text,"[24, 25]",8,,
131,Aufgabe 9a,"Auf Zeile 43 kommentiert der Erzähler: «Das Leben schreibt doch die schönsten Geschichten.» Erkläre in 1 bis 2 Sätzen, was diese Geschichte inhaltlich schön macht.","Die Reaktion der Zuschauer am Ende macht die Geschichte schön. Das einige Zuschauer am Ende dem Mann helfen. / Das einige Zuschauer den Mann nicht mehr auslachen, sondern unterstützen. 1 Punkt für allgemeine Antworten, 2 Punkte für spezifizierte Antworten, 0 Punkte für falsche Antworten. Bei 1 bis 2 Orthografie- und Grammatikfehlern kein Abzug, bei 3 oder mehr Fehlern 1 Punkt Abzug.",2,text,[43],8,,
